@relation spk4m

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,HL-,U,H*,L*,LH-,HH-}

@data
1,6,DT,3,NMOD,?,?,T1,?,?,2,A,7,68,71,75,115,117,2,0.062,0.062,U
2,6,NN,3,NMOD,?,?,T1,?,?,2,A,29,49,70,78,98,143,45,0.247,0.494,L*+H
3,6,NN,4,SBJ,?,?,T1,?,?,2,A,19,57,71,77,98,124,27,0.265,0.265,HL-
4,6,VBZ,0,ROOT,?,?,R1,?,?,2,Z,26,47,64,73,98,120,23,0.395,0.395,L*
5,6,VBN,4,VC,?,?,R1,?,?,2,Z,18,53,66,71,89,103,14,0.152,0.152,U
6,6,VBN,6,VC,?,?,R1,?,?,2,Z,24,49,64,72,73,73,0,0.375,0.375,LL-
1,13,NNP,8,SBJ,?,?,T1,?,?,2,A,42,41,63,83,101,136,35,0.616,0.616,L*+H
2,13,VBN,1,APPO,?,?,T1,?,?,2,A,28,47,66,75,110,132,23,0.311,0.311,S
3,13,IN,3,LOC,?,?,T1,?,?,2,A,1,72,73,74,106,130,24,0.098,0.098,U
4,13,NNP,6,NAME,?,?,T1,?,?,2,A,11,63,69,74,102,106,5,0.181,0.181,S
5,13,NNP,4,PMOD,?,?,T1,?,?,2,A,31,45,63,77,83,101,19,0.202,0.606,HL-
6,13,VBZ,0,ROOT,?,?,R1,?,?,2,Z,27,49,69,76,111,144,33,0.321,0.321,L*+H
7,13,CC,8,COORD,?,?,R1,?,?,2,Z,7,69,73,75,132,144,12,0.088,0.088,U
8,13,VBZ,9,CONJ,?,?,R1,?,?,2,Z,22,54,67,76,108,137,30,0.174,0.523,S
9,13,JJ,10,PRD,?,?,R1,?,?,2,Z,27,50,66,76,99,134,35,0.183,0.73,L*+H
10,13,NN,11,COORD,?,?,R1,?,?,2,Z,26,51,65,77,101,132,31,0.243,0.73,S
11,13,CC,13,COORD,?,?,R1,?,?,2,Z,14,58,67,72,85,99,14,0.228,0.228,U
