@relation spk5f

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,HL-,L*,HH-}

@data
9,13,JJ,10,PRD,?,?,R1,?,?,2,Z,49,29,62,78,133,314,182,0.19,0.762,L*+H
10,13,NN,11,COORD,?,?,R1,?,?,2,Z,47,30,66,77,212,268,56,0.179,0.537,S
11,13,CC,13,COORD,?,?,R1,?,?,2,Z,9,62,67,71,195,223,28,0.156,0.156,U
12,13,NN,14,CONJ,?,?,R1,?,?,2,Z,24,52,68,76,197,207,10,0.178,0.357,S
13,13,NNS,8,OBJ,?,?,R1,?,?,2,Z,38,38,64,76,0,0,0,0.188,0.377,LL-
1,16,DT,3,NMOD,?,?,T1,?,?,2,A,40,34,58,74,237,249,12,0.178,0.178,U
2,16,VBN,3,NMOD,?,?,T1,?,?,2,A,25,53,69,79,137,315,178,0.223,0.446,L*+H
3,16,NNS,5,SBJ,?,?,T1,?,?,2,A,28,49,67,78,208,265,57,0.246,0.491,S
4,16,RB,5,ADV,?,?,R1,?,?,2,Z,29,49,69,78,171,265,94,0.322,0.644,L*+H
5,16,MD,0,ROOT,?,?,R1,?,?,2,Z,19,56,70,75,219,243,24,0.214,0.214,U
6,16,VB,5,VC,?,?,R1,?,?,2,Z,10,67,73,77,195,219,23,0.14,0.279,S
7,16,NNS,6,OBJ,?,?,R1,?,?,2,Z,24,53,65,77,180,258,78,0.153,0.612,HL-
8,16,TO,6,OPRD,?,?,R1,?,?,2,Z,10,62,67,72,207,240,33,0.107,0.107,U
9,16,VB,8,IM,?,?,R1,?,?,2,Z,27,47,63,74,198,232,34,0.149,0.297,S
10,16,NNS,9,OBJ,?,?,R1,?,?,2,Z,30,49,67,80,245,297,52,0.22,0.88,L*+H
11,16,IN,10,NMOD,?,?,R1,?,?,2,Z,19,48,57,67,213,216,4,0.143,0.143,U
12,16,NNS,11,PMOD,?,?,R1,?,?,2,Z,28,52,65,81,192,233,42,0.256,0.511,S
13,16,RB,9,TMP,?,?,R1,?,?,2,Z,37,37,66,74,201,261,60,0.217,0.434,L*+H
14,16,CC,13,COORD,?,?,R1,?,?,2,Z,42,34,65,76,243,257,14,0.268,0.268,U
15,16,RBR,16,AMOD,?,?,R1,?,?,2,Z,15,60,68,75,226,246,20,0.244,0.244,S
16,16,RB,14,CONJ,?,?,R1,?,?,2,Z,34,41,60,75,180,186,7,0.223,0.445,LL-
1,10,RB,4,NMOD,?,?,SP1,?,?,3,A,53,27,68,80,193,294,101,0.222,0.886,L*+H
2,10,DT,4,NMOD,?,?,T1,?,?,3,B,17,54,62,71,200,234,34,0.136,0.136,U
3,10,NN,5,SBJ,?,?,T1,?,?,3,B,17,59,69,76,178,256,78,0.18,0.539,H*
4,10,VBD,0,ROOT,?,?,R1,?,?,3,Z,13,60,67,73,198,224,26,0.132,0.132,S
5,10,RB,5,ADV,?,?,R1,?,?,3,Z,17,62,72,80,217,238,21,0.215,0.215,H*
6,10,RB,5,ADV,?,?,R1,?,?,3,Z,17,57,70,74,199,231,31,0.159,0.317,S
7,10,VB,5,VC,?,?,R1,?,?,3,Z,10,63,70,73,197,220,23,0.175,0.351,S
8,10,IN,8,ADV,?,?,R1,?,?,3,Z,6,66,69,72,191,206,15,0.156,0.156,U
9,10,DT,11,NMOD,?,?,R1,?,?,3,Z,8,63,67,71,190,192,1,0.168,0.168,S
10,10,NN,9,PMOD,?,?,R1,?,?,3,Z,26,49,65,75,95,186,91,0.255,0.51,LL-
1,14,CC,14,DEP,?,?,SP1,?,?,4,A,44,34,61,78,237,237,1,0.16,0.16,U
2,14,IN,3,DEP,?,?,T1,?,?,4,B,34,49,70,83,228,240,11,0.16,0.319,S
3,14,CD,4,NMOD,?,?,T1,?,?,4,B,35,45,67,80,144,306,162,0.167,0.837,L*+H
4,14,IN,4,NMOD,?,?,T1,?,?,4,B,9,62,67,71,193,210,17,0.11,0.11,U
5,14,DT,7,NMOD,?,?,T1,?,?,4,B,13,57,63,70,193,225,32,0.138,0.138,U
6,14,NNS,5,PMOD,?,?,T1,?,?,4,B,38,38,63,76,165,243,78,0.294,0.881,LH-
7,14,VBG,4,NMOD,?,?,SP2,?,?,4,C,38,39,66,77,197,267,70,0.163,0.489,H*
8,14,TO,9,PMOD,?,?,SP2,?,?,4,C,12,54,60,66,210,230,19,0.083,0.083,U
9,14,NNP,12,NMOD,?,?,SP2,?,?,4,C,21,52,64,74,176,222,46,0.224,0.673,S
10,14,NNS,10,PMOD,?,?,SP2,?,?,4,C,43,31,52,74,145,168,23,0.467,0.934,LH-
11,14,VBP,0,ROOT,?,?,R1,?,?,4,Z,33,50,75,83,232,268,36,0.259,0.259,H*
12,14,PRP$,16,NMOD,?,?,R1,?,?,4,Z,12,63,73,76,217,246,29,0.105,0.105,U
13,14,NNS,14,OBJ,?,?,R1,?,?,4,Z,26,50,64,75,185,219,34,0.237,0.473,S
14,14,RB,14,ADV,?,?,R1,?,?,4,Z,35,34,59,70,164,185,21,0.284,0.284,LL-
1,13,DT,2,NMOD,?,?,T1,?,?,3,A,33,32,56,65,0,0,0,0.14,0.14,U
2,13,NNP,3,SBJ,?,?,T1,?,?,3,A,22,55,68,77,160,293,133,0.248,0.745,L*+H
3,13,MD,14,OBJ,?,?,R1,?,?,3,Z,25,49,64,74,225,245,20,0.159,0.159,U
4,13,RB,3,ADV,?,?,R1,?,?,3,Z,26,52,67,78,207,293,86,0.16,0.481,L*+H
5,13,VB,3,VC,?,?,R1,?,?,3,Z,21,56,69,77,91,221,129,0.241,0.241,S
6,13,IN,5,ADV,?,?,R1,?,?,3,Z,9,64,69,73,215,242,27,0.128,0.128,S
7,13,DT,8,NMOD,?,?,R1,?,?,3,Z,19,50,62,69,197,215,18,0.109,0.109,U
8,13,NN,6,PMOD,?,?,R1,?,?,3,Z,29,45,64,74,92,216,125,0.193,0.579,HL-
9,13,JJ,11,NMOD,?,?,R1,?,?,3,Z,34,41,69,74,223,276,53,0.188,0.377,L*+H
10,13,JJ,11,NMOD,?,?,R1,?,?,3,Z,20,52,62,73,198,223,25,0.299,0.299,S
11,13,NN,5,TMP,?,?,R1,?,?,3,Z,20,50,63,69,155,159,3,0.252,0.252,LL-
12,13,PRP,14,SBJ,?,?,SP1,?,?,3,Z,20,44,55,64,180,194,15,0.144,0.144,U
13,13,VBD,0,ROOT,?,?,SP1,?,?,3,Z,26,40,58,66,180,180,0,0.358,0.358,LL-
1,8,RB,6,SBJ,?,?,T1,?,?,2,A,52,32,69,83,246,300,54,0.255,0.255,L*+H
2,8,PDT,3,NMOD,?,?,T1,?,?,2,A,19,62,76,81,247,267,19,0.208,0.208,S
3,8,DT,1,NMOD,?,?,T1,?,?,2,A,14,61,70,75,219,260,41,0.307,0.307,S
4,8,WP,5,SBJ,?,?,T1,?,?,2,A,8,61,66,69,209,256,46,0.127,0.127,U
5,8,VBD,3,NMOD,?,?,T1,?,?,2,A,37,40,66,78,208,251,43,0.334,0.334,HL-
6,8,VBP,0,ROOT,?,?,R1,?,?,2,Z,29,45,63,74,200,222,22,0.194,0.387,L*
7,8,DT,8,NMOD,?,?,R1,?,?,2,Z,16,52,61,67,194,209,15,0.101,0.101,U
8,8,NNS,6,OBJ,?,?,R1,?,?,2,Z,15,50,60,66,162,178,16,0.221,0.443,LL-
1,16,VBG,9,ADV,?,?,SP1,?,?,3,A,45,36,66,81,121,316,194,0.156,0.469,L*+H
2,16,TO,1,PMOD,?,?,SP1,?,?,3,A,13,57,65,70,270,286,16,0.113,0.113,U
3,16,DT,4,NMOD,?,?,SP1,?,?,3,A,15,64,71,79,244,286,42,0.242,0.242,L*
4,16,NNS,2,PMOD,?,?,SP1,?,?,3,A,42,34,55,76,151,195,43,0.313,0.938,LH-
5,16,DT,8,NMOD,?,?,T1,?,?,3,B,42,33,58,74,223,239,16,0.186,0.186,U
6,16,NN,8,NMOD,?,?,T1,?,?,3,B,21,53,70,75,135,315,180,0.232,0.232,L*+H
7,16,NNS,9,SBJ,?,?,T1,?,?,3,B,28,46,66,74,185,256,71,0.304,0.608,S
8,16,MD,0,ROOT,?,?,R1,?,?,3,Z,26,45,60,71,202,217,15,0.175,0.175,U
9,16,VB,9,VC,?,?,R1,?,?,3,Z,31,45,62,77,225,243,18,0.237,0.237,S
10,16,NN,12,NMOD,?,?,R1,?,?,3,Z,32,46,68,78,132,316,185,0.162,0.485,H*
11,16,NNS,10,OBJ,?,?,R1,?,?,3,Z,35,45,65,80,168,218,50,0.291,0.583,HL-
12,16,IN,10,EXT,?,?,R1,?,?,3,Z,26,49,68,74,196,210,14,0.165,0.165,S
13,16,RBR,16,DEP,?,?,R1,?,?,3,Z,9,64,69,73,201,226,24,0.273,0.273,L*
14,16,IN,16,DEP,?,?,R1,?,?,3,Z,10,60,67,70,209,219,10,0.119,0.119,U
15,16,DT,17,NMOD,?,?,R1,?,?,3,Z,10,59,66,69,206,212,5,0.083,0.083,U
16,16,JJ,13,PMOD,?,?,R1,?,?,3,Z,23,48,60,71,145,179,34,0.44,0.44,LL-
1,8,DT,2,NMOD,?,?,T1,?,?,2,A,45,33,64,78,0,0,0,0.173,0.173,U
2,8,NNP,5,NMOD,?,?,T1,?,?,2,A,20,59,68,79,163,269,107,0.25,0.751,L*+H
3,8,NNP,5,NAME,?,?,T1,?,?,2,A,19,57,68,76,201,267,65,0.202,0.404,L*+H
4,8,NNP,7,SBJ,?,?,T1,?,?,2,A,37,38,64,75,161,203,42,0.413,0.413,HL-
5,8,RB,7,MNR,?,?,R1,?,?,2,Z,47,34,65,81,210,254,44,0.219,0.875,H*
